Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-23,632.0,657.2000122070312,630.0399780273438,656.5700073242188,31099200,0,0
2021-06-24,674.989990234375,697.6199951171875,667.6099853515625,679.8200073242188,45982400,0,0
2021-06-25,689.5800170898438,693.8099975585938,668.7000122070312,671.8699951171875,32429000,0,0
2021-06-28,671.6400146484375,694.7000122070312,670.3200073242188,688.719970703125,21628200,0,0
2021-06-29,684.6500244140625,687.510009765625,675.8900146484375,680.760009765625,17338600,0,0
